PDF_URL,TITLE,YEAR
https://assets.scriptslug.com/live/pdf/scripts/bloodshot-2020.pdf,bloodshot ,2020
https://assets.scriptslug.com/live/pdf/scripts/blue-jasmine-2013.pdf,blue jasmine ,2013
https://assets.scriptslug.com/live/pdf/scripts/blue-ruin-2013.pdf,blue ruin ,2013
https://assets.scriptslug.com/live/pdf/scripts/blue-valentine-2010.pdf,blue valentine ,2010
https://assets.scriptslug.com/live/pdf/scripts/blue-velvet-1986.pdf,blue velvet ,1986
https://assets.scriptslug.com/live/pdf/scripts/body-heat-1981.pdf,body heat ,1981
https://assets.scriptslug.com/live/pdf/scripts/bohemian-rhapsody-2018.pdf,bohemian rhapsody ,2018
https://assets.scriptslug.com/live/pdf/scripts/bones-and-all-2022.pdf,bones and all ,2022
https://assets.scriptslug.com/live/pdf/scripts/boogie-nights-1997.pdf,boogie nights ,1997
https://assets.scriptslug.com/live/pdf/scripts/booksmart-2019.pdf,booksmart ,2019
https://assets.scriptslug.com/live/pdf/scripts/boomerang-1992.pdf,boomerang ,1992
https://assets.scriptslug.com/live/pdf/scripts/booty-call-1997.pdf,booty call ,1997
https://assets.scriptslug.com/live/pdf/scripts/borat-subsequent-moviefilm-2020.pdf,borat subsequent moviefilm ,2020
https://assets.scriptslug.com/live/pdf/scripts/born-on-the-fourth-of-july-1989.pdf,born on the fourth of july ,1989
https://assets.scriptslug.com/live/pdf/scripts/bottoms-2023.pdf,bottoms ,2023
https://assets.scriptslug.com/live/pdf/scripts/bound-1996.pdf,bound ,1996
https://assets.scriptslug.com/live/pdf/scripts/bowfinger-1999.pdf,bowfinger ,1999
https://assets.scriptslug.com/live/pdf/scripts/boy-erased-2018.pdf,boy erased ,2018
https://assets.scriptslug.com/live/pdf/scripts/boyhood-2014.pdf,boyhood ,2014
https://assets.scriptslug.com/live/pdf/scripts/boyz-in-the-hood-1991.pdf,boyz in the hood ,1991
https://assets.scriptslug.com/live/pdf/scripts/brads-status-2017.pdf,brads status ,2017
https://assets.scriptslug.com/live/pdf/scripts/bram-stokers-dracula-1992.pdf,bram stokers dracula ,1992
https://assets.scriptslug.com/live/pdf/scripts/braveheart-1995.pdf,braveheart ,1995
https://assets.scriptslug.com/live/pdf/scripts/breach-2007.pdf,breach ,2007
https://assets.scriptslug.com/live/pdf/scripts/breaking-away-1979.pdf,breaking away ,1979
https://assets.scriptslug.com/live/pdf/scripts/breathe-2017.pdf,breathe ,2017
https://assets.scriptslug.com/live/pdf/scripts/brick-2005.pdf,brick ,2005
https://assets.scriptslug.com/live/pdf/scripts/bride-of-chucky-1998.pdf,bride of chucky ,1998
https://assets.scriptslug.com/live/pdf/scripts/bridesmaids-2011.pdf,bridesmaids ,2011
https://assets.scriptslug.com/live/pdf/scripts/bridge-of-spies-2015.pdf,bridge of spies ,2015
https://assets.scriptslug.com/live/pdf/scripts/bridget-jones-diary-2001.pdf,bridget jones diary ,2001
https://assets.scriptslug.com/live/pdf/scripts/bridget-joness-baby-2016.pdf,bridget joness baby ,2016
https://assets.scriptslug.com/live/pdf/scripts/bright-2017.pdf,bright ,2017
https://assets.scriptslug.com/live/pdf/scripts/brightburn-2019.pdf,brightburn ,2019
https://assets.scriptslug.com/live/pdf/scripts/broadcast-news-1987.pdf,broadcast news ,1987
https://assets.scriptslug.com/live/pdf/scripts/brokeback-mountain-2005.pdf,brokeback mountain ,2005
https://assets.scriptslug.com/live/pdf/scripts/broken-arrow-1996.pdf,broken arrow ,1996
https://assets.scriptslug.com/live/pdf/scripts/brooklyn-2015.pdf,brooklyn ,2015
https://assets.scriptslug.com/live/pdf/scripts/buffy-the-vampire-slayer-1992.pdf,buffy the vampire slayer ,1992
https://assets.scriptslug.com/live/pdf/scripts/buried-2010.pdf,buried ,2010
https://assets.scriptslug.com/live/pdf/scripts/burn-after-reading-2008.pdf,burn after reading ,2008
https://assets.scriptslug.com/live/pdf/scripts/burnt-2015.pdf,burnt ,2015
https://assets.scriptslug.com/live/pdf/scripts/butch-cassidy-and-the-sundance-kid-1968.pdf,butch cassidy and the sundance kid ,1968
https://assets.scriptslug.com/live/pdf/scripts/cabin-in-the-woods-2012.pdf,cabin in the woods ,2012
https://assets.scriptslug.com/live/pdf/scripts/caddyshack-1980.pdf,caddyshack ,1980
https://assets.scriptslug.com/live/pdf/scripts/call-me-by-your-name-2017.pdf,call me by your name ,2017
https://assets.scriptslug.com/live/pdf/scripts/can-you-ever-forgive-me-2018.pdf,can you ever forgive me ,2018
